Sz,Container,TimeNs
10,Vec,45.8796
10,Map,100.144
11,Vec,46.8014
11,Map,118.192
12,Vec,55.4388
12,Map,128.474
13,Vec,50.7403
13,Map,111.007
14,Vec,48.8362
14,Map,77.9559
15,Vec,46.3836
15,Map,75.0416
16,Vec,50.2927
16,Map,74.5446
17,Vec,49.6413
17,Map,90.0736
18,Vec,49.6643
18,Map,75.8171
19,Vec,74.3133
19,Map,106.303
20,Vec,57.9183
20,Map,84.8956
21,Vec,66.023
21,Map,102.435
22,Vec,81.5075
22,Map,121.806
23,Vec,89.5516
23,Map,119.802
24,Vec,75.6944
24,Map,117.26
25,Vec,77.8396
25,Map,106.306
26,Vec,86.5216
26,Map,110.251
27,Vec,76.503
27,Map,100.559
28,Vec,69.7927
28,Map,90.1901
29,Vec,59.5452
29,Map,82.5498
30,Vec,72.6079
30,Map,110.185
31,Vec,106.495
31,Map,132.909
32,Vec,108.919
32,Map,126.656
33,Vec,96.194
33,Map,123.211
34,Vec,88.1091
34,Map,95.949
35,Vec,79.7398
35,Map,96.234
36,Vec,75.5244
36,Map,86.669
37,Vec,88.672
37,Map,96.4238
38,Vec,79.7022
38,Map,96.9024
39,Vec,120.283
39,Map,113.059
40,Vec,135.703
40,Map,134.295
41,Vec,102.589
41,Map,117.231
42,Vec,97.6032
42,Map,99.593
43,Vec,82.0745
43,Map,97.0885
44,Vec,92.6135
44,Map,90.0549
45,Vec,86.0273
45,Map,89.2235
46,Vec,80.0922
46,Map,96.6322
47,Vec,108.604
47,Map,113.124
48,Vec,104.029
48,Map,123.912
49,Vec,109.009
49,Map,116.94
50,Vec,117.526
50,Map,112.409
51,Vec,100.521
51,Map,94.3773
52,Vec,84.1347
52,Map,88.6975
53,Vec,90.5725
53,Map,92.1851
54,Vec,90.5386
54,Map,103.77
55,Vec,141.172
55,Map,130.573
56,Vec,126.12
56,Map,135.616
57,Vec,131.139
57,Map,131.286
58,Vec,109.217
58,Map,100.457
59,Vec,126.893
59,Map,120.055
60,Vec,111.459
60,Map,87.69
61,Vec,110.373
61,Map,93.9125
62,Vec,155.128
62,Map,130.778
63,Vec,130.437
63,Map,104.629
64,Vec,152.443
64,Map,128.892
65,Vec,127.367
65,Map,84.5909
66,Vec,102.702
66,Map,80.8047
67,Vec,102.397
67,Map,79.969
68,Vec,107.334
68,Map,81.5553
69,Vec,143.242
69,Map,118.264
70,Vec,137.774
70,Map,125.33
71,Vec,141.552
71,Map,111.155
72,Vec,131.538
72,Map,102.41
73,Vec,125.89
73,Map,86.107
74,Vec,114.664
74,Map,85.3198
75,Vec,113.721
75,Map,84.1358
76,Vec,127.13
76,Map,112.923
77,Vec,196.018
77,Map,177.953
78,Vec,201.102
78,Map,149.213
79,Vec,137.505
79,Map,101.407
80,Vec,134.759
80,Map,86.1137
81,Vec,137.181
81,Map,83.543
82,Vec,127.604
82,Map,97.3892
83,Vec,162.343
83,Map,135.778
84,Vec,170.927
84,Map,118.718
85,Vec,169.754
85,Map,120.671
86,Vec,137.715
86,Map,95.4809
87,Vec,124.506
87,Map,85.247
88,Vec,125.18
88,Map,85.5703
89,Vec,125.039
89,Map,92.3692
90,Vec,165.751
90,Map,123.636
91,Vec,179.565
91,Map,142.152
92,Vec,186.417
92,Map,110.543
93,Vec,169.548
93,Map,96.9849
94,Vec,150.425
94,Map,90.7827
95,Vec,133.739
95,Map,86.8527
96,Vec,155.761
96,Map,123.321
97,Vec,192.21
97,Map,129.25
98,Vec,200.047
98,Map,128.97
99,Vec,174.477
99,Map,104.173
100,Vec,149.487
100,Map,87.8331
101,Vec,132.631
101,Map,85.6325
102,Vec,138.929
102,Map,87.9747
103,Vec,178.636
103,Map,125.305
104,Vec,213.772
104,Map,139.65
105,Vec,201.858
105,Map,112.264
106,Vec,167.216
106,Map,100.914
107,Vec,147.573
107,Map,87.927
108,Vec,152.387
108,Map,110.105
109,Vec,229.782
109,Map,150.379
110,Vec,259.604
110,Map,172.653
111,Vec,209.888
111,Map,112.679
112,Vec,153.267
112,Map,87.6727
113,Vec,150.14
113,Map,92.2938
114,Vec,164.616
114,Map,122.046
115,Vec,206.162
115,Map,120.854
116,Vec,211.399
116,Map,121.199
117,Vec,181.012
117,Map,103.44
118,Vec,205.385
118,Map,93.0771
119,Vec,157.923
119,Map,93.6246
120,Vec,165.498
120,Map,110.2
121,Vec,229.184
121,Map,140.31
122,Vec,248.829
122,Map,146.792
123,Vec,193.215
123,Map,93.5741
124,Vec,168.336
124,Map,93.8309
125,Vec,161.528
125,Map,95.629
126,Vec,188.964
126,Map,126.319
127,Vec,232.521
127,Map,125.766
128,Vec,229.207
128,Map,103.653
129,Vec,199.07
129,Map,82.3015
130,Vec,176.926
130,Map,74.2062
131,Vec,183.963
131,Map,76.5473
132,Vec,175.307
132,Map,90.2036
133,Vec,235.366
133,Map,132.008
134,Vec,292.995
134,Map,118.467
135,Vec,216.778
135,Map,88.9074
136,Vec,216.152
136,Map,82.8261
137,Vec,176.465
137,Map,77.8018
138,Vec,230.589
138,Map,126.169
139,Vec,265.228
139,Map,123.77
140,Vec,250.876
140,Map,86.3591
141,Vec,183.422
141,Map,76.7107
142,Vec,180.286
142,Map,81.6341
143,Vec,203.588
143,Map,76.3936
144,Vec,212.375
144,Map,110.627
145,Vec,258.478
145,Map,113.186
146,Vec,254.139
146,Map,96.075
147,Vec,211.558
147,Map,80.5848
148,Vec,198.667
148,Map,83.6605
149,Vec,191.495
149,Map,77.1375
150,Vec,299.206
150,Map,118.717
151,Vec,295.483
151,Map,120.18
152,Vec,249.622
152,Map,90.9678
153,Vec,212.838
153,Map,76.7945
154,Vec,190.197
154,Map,78.7667
155,Vec,193.998
155,Map,77.4544
156,Vec,212.313
156,Map,114.774
157,Vec,291.829
157,Map,104.953
158,Vec,272.852
158,Map,97.6083
159,Vec,221.635
159,Map,83.7062
160,Vec,209.879
160,Map,78.8538
161,Vec,218.243
161,Map,82.8325
162,Vec,286.771
162,Map,114.914
163,Vec,338.08
163,Map,125.514
164,Vec,251.565
164,Map,83.8046
165,Vec,221.272
165,Map,81.1462
166,Vec,213.744
166,Map,85.9788
167,Vec,289.534
167,Map,126.05
168,Vec,335.196
168,Map,102.505
169,Vec,234.966
169,Map,77.9215
170,Vec,221.028
170,Map,78.2397
171,Vec,231.712
171,Map,83.3988
172,Vec,298.323
172,Map,128.901
173,Vec,317.308
173,Map,111.617
174,Vec,235.357
174,Map,78.8701
175,Vec,260.526
175,Map,90.4554
176,Vec,221.778
176,Map,85.2435
177,Vec,330.313
177,Map,117.564
178,Vec,325.585
178,Map,104.474
179,Vec,251.308
179,Map,84.0933
180,Vec,229.003
180,Map,81.6235
181,Vec,245.405
181,Map,95.2416
182,Vec,314.473
182,Map,138.343
183,Vec,309.863
183,Map,92.101
184,Vec,229.164
184,Map,79.9334
185,Vec,222.935
185,Map,83.6489
186,Vec,241.757
186,Map,96.5288
187,Vec,369.218
187,Map,130.494
188,Vec,340.288
188,Map,97.8362
189,Vec,244.573
189,Map,92.5368
190,Vec,253.323
190,Map,83.2131
191,Vec,312.05
191,Map,125.255
192,Vec,352.488
192,Map,116.523
193,Vec,272.524
193,Map,82.3551
194,Vec,237.868
194,Map,86.331
195,Vec,237.066
195,Map,81.9985
196,Vec,234.255
196,Map,102.604
197,Vec,330.928
197,Map,118.674
198,Vec,303.608
198,Map,113.546
199,Vec,283.273
199,Map,86.2041
200,Vec,249.902
200,Map,81.9972
