Sz,Container,TimeNs
10,Vec,80.8983
10,Map,76.1049
11,Vec,83.9049
11,Map,85.6688
12,Vec,79.4192
12,Map,74.8162
13,Vec,78.7797
13,Map,71.5644
14,Vec,79.1988
14,Map,65.8301
15,Vec,85.4558
15,Map,72.3919
16,Vec,82.4572
16,Map,66.3992
17,Vec,88.9588
17,Map,73.3143
18,Vec,87.3907
18,Map,71.1883
19,Vec,91.4403
19,Map,71.881
20,Vec,91.8958
20,Map,74.3683
21,Vec,95.9074
21,Map,70.5681
22,Vec,97.7889
22,Map,67.5569
23,Vec,101.977
23,Map,71.6843
24,Vec,105.932
24,Map,74.9063
25,Vec,104.952
25,Map,74.7152
26,Vec,119.593
26,Map,85.7182
27,Vec,106.927
27,Map,73.5952
28,Vec,112.344
28,Map,74.6764
29,Vec,120.586
29,Map,70.427
30,Vec,114.218
30,Map,71.6633
31,Vec,117.461
31,Map,71.0329
32,Vec,128.111
32,Map,84.3868
33,Vec,136.59
33,Map,82.5097
34,Vec,148.901
34,Map,79.052
35,Vec,123.113
35,Map,74.9727
36,Vec,129.096
36,Map,75.6556
37,Vec,127.937
37,Map,73.3639
38,Vec,133.547
38,Map,78.1845
39,Vec,133.452
39,Map,78.6218
40,Vec,141.006
40,Map,75.9452
41,Vec,139.067
41,Map,78.5901
42,Vec,143.943
42,Map,75.8437
43,Vec,134.834
43,Map,71.7563
44,Vec,144.653
44,Map,77.0052
45,Vec,144.969
45,Map,73.5939
46,Vec,143.297
46,Map,78.2425
47,Vec,153.956
47,Map,73.6446
48,Vec,151.429
48,Map,75.1303
49,Vec,153.125
49,Map,80.2479
50,Vec,158.261
50,Map,78.505
51,Vec,164.046
51,Map,79.4395
52,Vec,160.565
52,Map,75.2119
53,Vec,163.693
53,Map,75.8903
54,Vec,160.207
54,Map,74.8369
55,Vec,161.188
55,Map,75.133
56,Vec,162.246
56,Map,77.165
57,Vec,167.327
57,Map,78.0992
58,Vec,167.803
58,Map,79.137
59,Vec,172.513
59,Map,77.4628
60,Vec,172.432
60,Map,72.2435
61,Vec,175.391
61,Map,72.7928
62,Vec,179.773
62,Map,77.309
63,Vec,184.899
63,Map,72.5676
64,Vec,173.856
64,Map,71.4711
65,Vec,177.185
65,Map,71.0556
66,Vec,177.925
66,Map,72.9536
67,Vec,180.076
67,Map,79.8889
68,Vec,205.44
68,Map,78.1687
69,Vec,184.114
69,Map,72.8354
70,Vec,183.619
70,Map,75.8088
71,Vec,187.072
71,Map,72.7211
72,Vec,205.077
72,Map,72.3449
73,Vec,205.358
73,Map,79.6037
74,Vec,192.451
74,Map,73.7177
75,Vec,192.874
75,Map,72.6716
76,Vec,192.945
76,Map,74.4713
77,Vec,201.031
77,Map,75.9821
78,Vec,203.925
78,Map,75.1698
79,Vec,200.712
79,Map,72.5979
80,Vec,204.852
80,Map,71.9312
81,Vec,204.669
81,Map,76.1002
82,Vec,213.921
82,Map,75.4164
83,Vec,211.907
83,Map,76.5133
84,Vec,216.3
84,Map,74.9723
85,Vec,218.065
85,Map,81.6782
86,Vec,211.555
86,Map,76.8851
87,Vec,220.618
87,Map,73.7935
88,Vec,220.909
88,Map,77.0206
89,Vec,217.654
89,Map,75.1166
90,Vec,220.45
90,Map,76.8169
91,Vec,222.143
91,Map,76.0452
92,Vec,226.537
92,Map,75.701
93,Vec,231.277
93,Map,79.2281
94,Vec,231.64
94,Map,76.9664
95,Vec,234.863
95,Map,76.596
96,Vec,235.07
96,Map,79.8955
97,Vec,259.22
97,Map,74.5493
98,Vec,239.483
98,Map,77.9493
99,Vec,236.083
99,Map,78.1886
100,Vec,242.952
100,Map,76.7733
101,Vec,246.408
101,Map,77.1073
102,Vec,273.652
102,Map,87.4979
103,Vec,286.103
103,Map,87.4126
104,Vec,292.033
104,Map,88.1036
105,Vec,293.436
105,Map,84.6415
106,Vec,291.328
106,Map,87.0389
107,Vec,285.078
107,Map,83.2939
108,Vec,263.898
108,Map,76.0986
109,Vec,259.785
109,Map,76.9445
110,Vec,272.329
110,Map,87.0241
111,Vec,266.405
111,Map,77.9351
112,Vec,263.153
112,Map,75.5181
113,Vec,262.797
113,Map,77.6623
114,Vec,268.54
114,Map,77.8456
115,Vec,271.759
115,Map,86.4525
116,Vec,310.488
116,Map,90.5727
117,Vec,313.124
117,Map,88.2006
118,Vec,315.087
118,Map,91.158
119,Vec,305.75
119,Map,79.9661
120,Vec,276.889
120,Map,77.8472
121,Vec,271.156
121,Map,75.7339
122,Vec,279.309
122,Map,79.5235
123,Vec,295.608
123,Map,76.6922
124,Vec,288.147
124,Map,77.0829
125,Vec,289.199
125,Map,79.3505
126,Vec,283.803
126,Map,75.7462
127,Vec,303.197
127,Map,85.8989
128,Vec,339.516
128,Map,79.9274
129,Vec,321.459
129,Map,72.4049
130,Vec,292.395
130,Map,75.435
131,Vec,305.589
131,Map,75.2767
132,Vec,324.345
132,Map,79.8079
133,Vec,309.814
133,Map,72.6757
134,Vec,306.393
134,Map,71.9744
135,Vec,307.7
135,Map,74.7188
136,Vec,319.419
136,Map,73.5995
137,Vec,312.142
137,Map,73.6758
138,Vec,303.169
138,Map,72.7791
139,Vec,314.658
139,Map,79.2841
140,Vec,338.879
140,Map,79.7066
141,Vec,350.501
141,Map,83.2447
142,Vec,356.436
142,Map,82.9062
143,Vec,355.519
143,Map,81.7676
144,Vec,351.132
144,Map,77.9018
145,Vec,320.699
145,Map,74.9661
146,Vec,332.789
146,Map,74.712
147,Vec,334.019
147,Map,75.0896
148,Vec,332.424
148,Map,74.296
149,Vec,328.282
149,Map,73.0745
150,Vec,331.783
150,Map,73.4541
151,Vec,342.225
151,Map,77.3778
152,Vec,338.45
152,Map,75.3382
153,Vec,339.595
153,Map,75.2131
154,Vec,344.165
154,Map,77.742
155,Vec,349.38
155,Map,76.8287
156,Vec,348.511
156,Map,73.8498
157,Vec,345.838
157,Map,74.9957
158,Vec,344.892
158,Map,74.4869
159,Vec,350.018
159,Map,74.5765
160,Vec,355.261
160,Map,74.9298
161,Vec,348.911
161,Map,72.3595
162,Vec,348.655
162,Map,73.5332
163,Vec,377.455
163,Map,81.2345
164,Vec,385.509
164,Map,79.7756
165,Vec,368.858
165,Map,75.4297
166,Vec,355.398
166,Map,74.8144
167,Vec,368.001
167,Map,74.635
168,Vec,369.708
168,Map,75.8976
169,Vec,363.674
169,Map,72.8917
170,Vec,367.787
170,Map,73.3253
171,Vec,371.812
171,Map,80.2231
172,Vec,382.729
172,Map,74.4677
173,Vec,373.447
173,Map,74.2353
174,Vec,362.562
174,Map,74.6641
175,Vec,376.495
175,Map,75.2935
176,Vec,389.661
176,Map,76.0354
177,Vec,376.96
177,Map,75.8371
178,Vec,371.483
178,Map,74.4144
179,Vec,385.949
179,Map,77.1441
180,Vec,400.626
180,Map,76.1719
181,Vec,389.91
181,Map,75.6315
182,Vec,383.823
182,Map,76.8026
183,Vec,402.387
183,Map,76.6208
184,Vec,393.57
184,Map,74.5839
185,Vec,393.68
185,Map,75.6911
186,Vec,396.122
186,Map,78.1403
187,Vec,402.1
187,Map,76.4214
188,Vec,410.202
188,Map,78.6095
189,Vec,404.851
189,Map,77.809
190,Vec,427.504
190,Map,80.3546
191,Vec,408.274
191,Map,75.4636
192,Vec,405.944
192,Map,76.4452
193,Vec,412.948
193,Map,76.7123
194,Vec,419.86
194,Map,75.6077
195,Vec,416.421
195,Map,73.1561
196,Vec,410.307
196,Map,76.9822
197,Vec,435.854
197,Map,80.7967
198,Vec,410.461
198,Map,75.7115
199,Vec,426.946
199,Map,76.7879
200,Vec,424.646
200,Map,80.2902
