Sz,Container,TimeNs
10,Vec,34.6348
10,Map,212.988
11,Vec,55.2132
11,Map,163.212
12,Vec,50.3493
12,Map,158.004
13,Vec,57.7126
13,Map,159.601
14,Vec,45.5083
14,Map,191.292
15,Vec,50.7345
15,Map,195.044
16,Vec,43.1037
16,Map,222.723
17,Vec,47.2865
17,Map,191.447
18,Vec,42.484
18,Map,217.069
19,Vec,49.1193
19,Map,250.615
20,Vec,49.5418
20,Map,222.769
21,Vec,70.6335
21,Map,185.753
22,Vec,54.7492
22,Map,211.502
23,Vec,90.911
23,Map,262.915
24,Vec,72.6517
24,Map,256.652
25,Vec,62.7929
25,Map,205.119
26,Vec,56.5265
26,Map,172.402
27,Vec,48.2233
27,Map,168.558
28,Vec,48.7484
28,Map,222.48
29,Vec,68.5612
29,Map,247.599
30,Vec,70.6398
30,Map,299.14
31,Vec,75.9281
31,Map,264.326
32,Vec,61.4809
32,Map,281.045
33,Vec,88.5922
33,Map,342.069
34,Vec,70.0249
34,Map,249.813
35,Vec,52.9635
35,Map,234.566
36,Vec,50.5597
36,Map,221.393
37,Vec,43.5543
37,Map,245.059
38,Vec,65.4133
38,Map,358.183
39,Vec,63.2992
39,Map,239.599
40,Vec,43.357
40,Map,196.618
41,Vec,57.8478
41,Map,184.147
42,Vec,56.6945
42,Map,205.163
43,Vec,75.6789
43,Map,273.183
44,Vec,70.4748
44,Map,264.233
45,Vec,88.5879
45,Map,241.174
46,Vec,62.1994
46,Map,187.263
47,Vec,53.19
47,Map,180.398
48,Vec,51.306
48,Map,228.053
49,Vec,73.9346
49,Map,251.942
50,Vec,71.2712
50,Map,269.244
51,Vec,55.6292
51,Map,196.705
52,Vec,50.2476
52,Map,181.481
53,Vec,49.1993
53,Map,176.137
54,Vec,49.1861
54,Map,201.465
55,Vec,63.7534
55,Map,279.329
56,Vec,71.3955
56,Map,339.882
57,Vec,54.8445
57,Map,210.231
58,Vec,50.613
58,Map,172.572
59,Vec,47.7262
59,Map,172.579
60,Vec,53.8381
60,Map,283.422
61,Vec,71.502
61,Map,289.103
62,Vec,62.9185
62,Map,219.873
63,Vec,45.7601
63,Map,196.951
64,Vec,46.5979
64,Map,195.909
65,Vec,44.7597
65,Map,250.318
66,Vec,59.9867
66,Map,281.44
67,Vec,60.7599
67,Map,279.809
68,Vec,56.3032
68,Map,226.308
69,Vec,48.6567
69,Map,203.469
70,Vec,43.5317
70,Map,252.252
71,Vec,61.9564
71,Map,280.729
72,Vec,60.1698
72,Map,255.497
73,Vec,46.6424
73,Map,198.685
74,Vec,41.55
74,Map,193.141
75,Vec,42.7014
75,Map,230.184
76,Vec,63.8275
76,Map,273.35
77,Vec,56.1761
77,Map,294.038
78,Vec,49.7521
78,Map,218.511
79,Vec,43.1257
79,Map,185.209
80,Vec,41.4023
80,Map,186.558
81,Vec,57.7204
81,Map,288.198
82,Vec,85.6791
82,Map,277.716
83,Vec,94.8876
83,Map,264.969
84,Vec,54.4002
84,Map,184.358
85,Vec,53.9856
85,Map,183.465
86,Vec,52.5875
86,Map,227.498
87,Vec,76.9154
87,Map,266.461
88,Vec,71.0353
88,Map,233.783
89,Vec,63.347
89,Map,186.816
90,Vec,50.8123
90,Map,182.078
91,Vec,49.9431
91,Map,219.894
92,Vec,76.0495
92,Map,254.257
93,Vec,68.1963
93,Map,278.177
94,Vec,67.1869
94,Map,232.45
95,Vec,58.5125
95,Map,190.629
96,Vec,49.2109
96,Map,196.652
97,Vec,79.6907
97,Map,281.361
98,Vec,84.788
98,Map,289.305
99,Vec,78.5921
99,Map,205.627
100,Vec,47.9903
100,Map,177.027
101,Vec,48.7409
101,Map,181.374
102,Vec,49.469
102,Map,224.507
103,Vec,69.5503
103,Map,250.881
104,Vec,62.8174
104,Map,245.402
105,Vec,66.1613
105,Map,191.997
106,Vec,46.2419
106,Map,183.331
107,Vec,63.078
107,Map,195.844
108,Vec,59.4168
108,Map,225.019
109,Vec,62.3369
109,Map,262.295
110,Vec,69.3638
110,Map,233.78
111,Vec,49.5069
111,Map,186.048
112,Vec,48.4585
112,Map,174.949
113,Vec,44.8327
113,Map,177.359
114,Vec,53.9834
114,Map,181.657
115,Vec,62.7801
115,Map,227.394
